               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.018892,           0.0054466,                   0,             0.97981,             0.99433,             0.99095,             0.84385,             0.01287,           0.0031605,                   0,           0.0091667,           0.0091667,           0.0091667
                 103,            0.018925,           0.0054481,                   0,             0.98055,             0.99413,             0.99088,             0.84492,            0.012839,           0.0031541,                   0,           0.0091585,           0.0091585,           0.0091585
                 104,            0.018806,           0.0054054,                   0,             0.98197,             0.99421,             0.99093,             0.84438,            0.012809,           0.0031482,                   0,           0.0091503,           0.0091503,           0.0091503
                 105,             0.01884,           0.0054026,                   0,             0.98187,              0.9942,             0.99116,             0.84517,             0.01279,            0.003144,                   0,            0.009142,            0.009142,            0.009142
                 106,            0.018749,           0.0053717,                   0,             0.98265,             0.99335,             0.99139,             0.84571,            0.012768,           0.0031397,                   0,           0.0091337,           0.0091337,           0.0091337
                 107,            0.019004,           0.0054086,                   0,             0.98317,             0.99334,             0.99148,             0.84595,            0.012744,            0.003135,                   0,           0.0091255,           0.0091255,           0.0091255
                 108,            0.018822,           0.0053639,                   0,             0.98282,             0.99347,             0.99141,             0.84676,             0.01272,            0.003133,                   0,           0.0091173,           0.0091173,           0.0091173
                 109,            0.018432,           0.0053253,                   0,             0.98299,             0.99359,             0.99147,              0.8469,            0.012699,           0.0031287,                   0,            0.009109,            0.009109,            0.009109
                 110,             0.01841,           0.0053532,                   0,             0.98365,             0.99315,             0.99113,             0.84692,            0.012671,           0.0031264,                   0,           0.0091007,           0.0091007,           0.0091007
                 111,            0.018478,           0.0053097,                   0,             0.98342,             0.99396,             0.99112,             0.84807,            0.012645,           0.0031225,                   0,           0.0090925,           0.0090925,           0.0090925
                 112,            0.018412,           0.0053471,                   0,              0.9833,             0.99364,             0.99107,             0.84828,            0.012618,           0.0031181,                   0,           0.0090843,           0.0090843,           0.0090843
                 113,            0.018583,           0.0053927,                   0,             0.98309,             0.99372,             0.99114,             0.84839,            0.012594,           0.0031134,                   0,            0.009076,            0.009076,            0.009076
                 114,            0.018452,           0.0052959,                   0,             0.98318,             0.99366,             0.99126,             0.84876,            0.012565,           0.0031084,                   0,           0.0090677,           0.0090677,           0.0090677
                 115,             0.01832,           0.0054162,                   0,             0.98305,             0.99354,              0.9913,             0.84943,            0.012541,           0.0031053,                   0,           0.0090595,           0.0090595,           0.0090595
                 116,            0.018507,           0.0053483,                   0,             0.98263,             0.99446,             0.99125,             0.84994,            0.012514,           0.0031019,                   0,           0.0090513,           0.0090513,           0.0090513
                 117,            0.018432,            0.005329,                   0,              0.9826,             0.99471,             0.99128,             0.85044,            0.012493,           0.0030979,                   0,            0.009043,            0.009043,            0.009043
                 118,             0.01848,            0.005349,                   0,             0.98259,             0.99424,             0.99132,             0.85069,             0.01247,           0.0030964,                   0,           0.0090347,           0.0090347,           0.0090347
                 119,            0.018446,            0.005316,                   0,             0.98296,             0.99384,             0.99128,             0.85216,            0.012442,            0.003092,                   0,           0.0090265,           0.0090265,           0.0090265
                 120,            0.018466,           0.0053558,                   0,             0.98375,             0.99372,              0.9913,             0.85254,            0.012416,           0.0030883,                   0,           0.0090183,           0.0090183,           0.0090183
                 121,            0.018476,           0.0052171,                   0,              0.9839,             0.99396,             0.99138,              0.8514,            0.012392,           0.0030835,                   0,             0.00901,             0.00901,             0.00901
                 122,            0.018406,           0.0053124,                   0,             0.98364,             0.99421,             0.99136,             0.85305,            0.012372,           0.0030792,                   0,           0.0090018,           0.0090018,           0.0090018
                 123,            0.018476,           0.0053887,                   0,             0.98367,             0.99438,             0.99141,             0.85336,            0.012352,           0.0030756,                   0,           0.0089935,           0.0089935,           0.0089935
                 124,            0.018297,           0.0053238,                   0,             0.98367,             0.99433,             0.99147,             0.85351,             0.01233,           0.0030725,                   0,           0.0089853,           0.0089853,           0.0089853
                 125,            0.018163,           0.0051951,                   0,             0.98425,             0.99446,             0.99156,             0.85346,            0.012313,           0.0030696,                   0,            0.008977,            0.008977,            0.008977
                 126,            0.018118,           0.0052248,                   0,             0.98475,              0.9946,             0.99159,             0.85435,            0.012292,           0.0030671,                   0,           0.0089688,           0.0089688,           0.0089688
                 127,            0.018278,           0.0052457,                   0,             0.98487,             0.99467,             0.99166,             0.85416,            0.012274,           0.0030638,                   0,           0.0089605,           0.0089605,           0.0089605
                 128,            0.018172,           0.0052903,                   0,             0.98463,             0.99474,             0.99171,             0.85466,            0.012258,            0.003061,                   0,           0.0089523,           0.0089523,           0.0089523
                 129,            0.018347,           0.0053279,                   0,             0.98487,             0.99445,             0.99174,             0.85501,            0.012244,           0.0030582,                   0,            0.008944,            0.008944,            0.008944
                 130,            0.018269,           0.0052381,                   0,             0.98465,             0.99446,             0.99175,             0.85504,            0.012231,           0.0030557,                   0,           0.0089358,           0.0089358,           0.0089358
                 131,            0.018317,           0.0053375,                   0,             0.98475,             0.99443,             0.99176,             0.85503,            0.012219,           0.0030534,                   0,           0.0089275,           0.0089275,           0.0089275
                 132,            0.018131,            0.005176,                   0,             0.98528,             0.99433,              0.9918,             0.85548,            0.012202,           0.0030503,                   0,           0.0089193,           0.0089193,           0.0089193
                 133,            0.018097,            0.005221,                   0,             0.98523,              0.9943,             0.99182,             0.85566,            0.012186,            0.003048,                   0,            0.008911,            0.008911,            0.008911
                 134,            0.018308,           0.0052277,                   0,             0.98526,             0.99433,             0.99177,             0.85628,            0.012173,           0.0030454,                   0,           0.0089028,           0.0089028,           0.0089028
